release_year,release_month,country_x,count_movies,title_x,avg_vote
2019.0,Nov,United States,89,the matrix,8.7
2019.0,Nov,United States,89,american history x,8.5
2019.0,Dec,India,66,gol maal,8.6
2019.0,Dec,India,66,koshish,8.6
2020.0,Jan,United States,60,american beauty,8.3
2020.0,Jan,United States,60,magnolia,8.0
2019.0,Oct,United States,44,raging bull,8.2
2019.0,Oct,United States,44,sin city,8.0
2018.0,Oct,India,40,dev.d,8.0
2018.0,Oct,India,40,sanju,7.8
2018.0,Nov,India,38,manto,8.5
2018.0,Nov,India,38,paan singh tomar,8.2
2018.0,Mar,India,38,iqbal,8.1
2018.0,Mar,India,38,laal rang,8.0
2019.0,Mar,United States,36,doubt,7.5
2019.0,Mar,United States,36,blue jasmine,7.3
2018.0,Aug,India,35,2 states,8.2
2018.0,Aug,India,35,tikli and laxmi bomb,8.2
2019.0,Jan,United States,33,pulp fiction,8.9
2019.0,Jan,United States,33,indiana jones and the last crusade,8.2
2017.0,May,India,32,drishyam,8.3
2017.0,May,India,32,queen,8.2
2019.0,Jul,United States,30,rain man,8.0
2019.0,Jul,United States,30,short term 12,8.0
2019.0,Jun,United States,30,spider-man: into the spider-verse,8.4
2019.0,Jun,United States,30,50/50,7.6
2019.0,Sep,United States,30,superbad,7.6
2019.0,Sep,United States,30,my sister's keeper,7.4
2019.0,Apr,United States,26,p.s. i love you,7.0
2019.0,Apr,United States,26,arthur,6.9
2018.0,Jul,United States,26,her,8.0
2018.0,Jul,United States,26,the stranger,7.4
2019.0,Dec,United States,23,the departed,8.5
2019.0,Dec,United States,23,primal fear,7.7
2017.0,Mar,Turkey,22,vizontele,8.0
2017.0,Mar,Turkey,22,mucize,7.7
2019.0,May,United States,22,the one i love,7.1
2019.0,May,United States,22,always be my maybe,6.8
2019.0,Aug,United States,21,rocky,8.1
2019.0,Aug,United States,21,jackie brown,7.5
2018.0,Jan,United States,21,dallas buyers club,8.0
2018.0,Jan,United States,21,the conjuring,7.5
2019.0,May,India,20,hamid,7.8
2019.0,May,India,20,once upon a time in mumbaai,7.4
2018.0,Sep,United States,19,brick,7.3
2018.0,Sep,United States,19,black panther,7.3
2018.0,Apr,United States,18,schindler's list,8.9
2018.0,Apr,United States,18,balto,7.1
2019.0,Mar,Philippines,17,seven sundays,7.8
2019.0,Mar,Philippines,17,that thing called tadhana,7.5
2019.0,Apr,India,17,njan prakashan,7.6
2019.0,Apr,India,17,petta,7.2
2017.0,Oct,India,17,wrong side raju,8.0
2017.0,Oct,India,17,gour hari dastaan: the freedom file,7.5
2018.0,Mar,United States,17,mango dreams,7.6
2018.0,Mar,United States,17,rapture,7.2
2017.0,Oct,United States,16,star trek,7.9
2017.0,Oct,United States,16,the hateful eight,7.8
2019.0,Feb,United States,16,paddleton,7.2
2019.0,Feb,United States,16,we the animals,6.9
2017.0,Aug,United States,15,opening night,8.0
2017.0,Aug,United States,15,naked,7.8
2018.0,Dec,United States,15,silencer,8.5
2018.0,Dec,United States,15,avengers: infinity war,8.4
2018.0,Nov,United States,15,the ballad of buster scruggs,7.3
2018.0,Nov,United States,15,the christmas chronicles,7.1
2017.0,Sep,United States,15,frequency,7.3
2017.0,Sep,United States,15,our souls at night,6.9
2018.0,Aug,United States,14,hostiles,7.2
2018.0,Aug,United States,14,wish i was here,6.7
2018.0,Apr,India,14,sairat,8.3
2018.0,Apr,India,14,barsaat,7.9
2016.0,Dec,United States,14,from dusk till dawn,7.2
2016.0,Dec,United States,14,other people,6.8
2018.0,Feb,United States,14,the bachelors,6.8
2018.0,Feb,United States,14,princess cyd,6.7
2018.0,Jul,India,14,angamaly diaries,8.0
2018.0,Jul,India,14,i am kalam,8.0
2017.0,Mar,United States,13,coraline,7.7
2017.0,Mar,United States,13,five came back,7.1
2017.0,Dec,India,13,eh janam tumhare lekhe,8.6
2017.0,Dec,India,13,taare zameen par,8.4
2018.0,May,India,12,love ni bhavai,8.4
2018.0,May,India,12,andaz apna apna,8.2
2017.0,Dec,United States,12,creep 2,6.4
2017.0,Dec,United States,12,some freaks,6.3
2019.0,Feb,Philippines,12,four sisters and a wedding,7.3
2019.0,Feb,Philippines,12,can't help falling in love,7.2
2019.0,Feb,India,11,shonar pahar,8.1
2019.0,Feb,India,11,manusangada,7.9
2019.0,Jun,India,11,super deluxe,8.4
2019.0,Jun,India,11,kahaani,8.1
2019.0,Aug,India,11,3 idiots,8.4
2019.0,Aug,India,11,uyare,8.0
2017.0,Nov,United States,10,9,7.7
2017.0,Nov,United States,10,mudbound,7.4
2017.0,Jan,United States,10,camp x-ray,6.9
2017.0,Jan,United States,10,max rose,6.2
2017.0,Feb,United States,9,imperial dreams,6.7
2017.0,Feb,United States,9,"aram, aram",6.5
2018.0,May,United States,9,small town crime,6.6
2018.0,May,United States,9,scandal,6.5
2017.0,Nov,India,9,6-5=2,5.9
2017.0,Nov,India,9,kis kisko pyaar karoon,5.7
2017.0,Apr,United States,9,tramps,6.5
2017.0,Apr,United States,9,good kill,6.4
2018.0,Jun,United States,9,thor: ragnarok,7.9
2018.0,Jun,United States,9,tarzan,7.3
2019.0,Jan,India,8,merku thodarchi malai,8.5
2019.0,Jan,India,8,taramani,7.5
2017.0,Jun,United States,8,the stanford prison experiment,6.9
2017.0,Jun,United States,8,how the grinch stole christmas,6.2
2017.0,Jul,United States,8,to the bone,6.8
2017.0,Jul,United States,8,the incredible jessica james,6.5
2017.0,Feb,India,8,madaari,7.6
2017.0,Feb,India,8,te3n,7.3
2017.0,Jul,India,8,professor,7.1
2017.0,Jul,India,8,liar's dice,6.9
2019.0,Nov,India,8,oththa seruppu size 7,8.6
2019.0,Nov,India,8,mallesham,8.5
2018.0,Jan,India,8,fandry,8.3
2018.0,Jan,India,8,maine pyar kiya,7.3
2017.0,Mar,India,8,ottaal,8.3
2017.0,Mar,India,8,ugly,8.0
2017.0,May,United States,7,the place beyond the pines,7.3
2017.0,May,United States,7,don't think twice,6.7
2019.0,Feb,United Kingdom,7,safe,7.2
2019.0,Feb,United Kingdom,7,postcards from london,5.1
2017.0,Jun,India,7,dangal,8.4
2017.0,Jun,India,7,kaabil,7.1
2018.0,Oct,United States,7,my suicide,7.1
2018.0,Oct,United States,7,brooklyn's finest,6.7
2017.0,Jan,India,7,udta punjab,7.8
2017.0,Jan,India,7,radiopetti,7.3
2020.0,Jan,India,6,mandi,7.6
2020.0,Jan,India,6,bulbul can sing,6.8
2018.0,Feb,India,6,premachi goshta,7.3
2018.0,Feb,India,6,tukaram,7.2
2016.0,Jul,United States,6,king jack,7.0
2016.0,Jul,United States,6,tallulah,6.7
2020.0,Jan,"United Kingdom, United States",6,moon,7.9
2020.0,Jan,"United Kingdom, United States",6,steve jobs,7.2
2018.0,Sep,India,6,pk,8.1
2018.0,Sep,India,6,samantaral,7.6
2019.0,Sep,India,6,article 15,8.2
2019.0,Sep,India,6,ee nagaraniki emaindi,7.9
2018.0,Mar,Canada,6,trailer park boys,7.9
2018.0,Mar,Canada,6,trailer park boys: countdown to liquor day,7.4
2018.0,Dec,India,6,andhadhun,8.3
2018.0,Dec,India,6,power paandi,7.5
2017.0,Apr,India,5,killa,7.9
2017.0,Apr,India,5,dear zindagi,7.6
2016.0,Apr,United States,5,frank and cindy,6.1
2016.0,Apr,United States,5,band of robbers,6.0
2018.0,Mar,United Kingdom,5,requiem,7.0
2018.0,Mar,United Kingdom,5,dad's army,7.0
2017.0,Mar,United Kingdom,4,firstborn,6.3
2017.0,Mar,United Kingdom,4,the riot club,6.0
2019.0,Dec,"United Kingdom, United States",4,goldeneye,7.2
2019.0,Dec,"United Kingdom, United States",4,tomorrow never dies,6.5
2019.0,Mar,United Kingdom,4,layer cake,7.3
2019.0,Mar,United Kingdom,4,pablo,6.6
2018.0,Dec,Australia,4,faraar,7.0
