Years,Months,count_movies
2008,Jan,1
2008,Feb,1
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,1
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,1
2009,Dec,0
2010,Jan,0
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,1
2010,Dec,0
2011,Jan,0
2011,Feb,0
2011,Mar,0
2011,Apr,0
2011,May,1
2011,Jun,0
2011,Jul,0
2011,Aug,0
2011,Sep,1
2011,Oct,11
2011,Nov,0
2011,Dec,0
2012,Jan,0
2012,Feb,1
2012,Mar,0
2012,Apr,0
2012,May,0
2012,Jun,0
2012,Jul,2
2012,Aug,1
2012,Sep,0
2012,Oct,1
2012,Nov,1
2012,Dec,1
2013,Jan,0
2013,Feb,0
2013,Mar,1
2013,Apr,1
2013,May,0
2013,Jun,0
2013,Jul,0
2013,Aug,1
2013,Sep,2
2013,Oct,3
2013,Nov,2
2013,Dec,2
2014,Jan,2
2014,Feb,2
2014,Mar,0
2014,Apr,2
2014,May,0
2014,Jun,1
2014,Jul,1
2014,Aug,1
2014,Sep,1
2014,Oct,4
2014,Nov,5
2014,Dec,6
2015,Jan,1
2015,Feb,4
2015,Mar,5
2015,Apr,7
2015,May,7
2015,Jun,7
2015,Jul,8
2015,Aug,2
2015,Sep,7
2015,Oct,15
2015,Nov,4
2015,Dec,23
2016,Jan,44
2016,Feb,16
2016,Mar,19
2016,Apr,23
2016,May,14
2016,Jun,19
2016,Jul,31
2016,Aug,44
2016,Sep,48
2016,Oct,53
2016,Nov,47
2016,Dec,98
2017,Jan,74
2017,Feb,87
2017,Mar,146
2017,Apr,99
2017,May,114
2017,Jun,96
2017,Jul,82
2017,Aug,118
2017,Sep,124
2017,Oct,138
2017,Nov,91
2017,Dec,131
2018,Jan,137
2018,Feb,93
2018,Mar,182
2018,Apr,132
2018,May,108
2018,Jun,81
2018,Jul,164
2018,Aug,179
2018,Sep,134
2018,Oct,201
2018,Nov,168
2018,Dec,203
2019,Jan,167
2019,Feb,174
2019,Mar,198
2019,Apr,183
2019,May,183
2019,Jun,189
2019,Jul,186
2019,Aug,163
2019,Sep,162
2019,Oct,220
2019,Nov,292
2019,Dec,232
2020,Jan,184
2020,Feb,0
2020,Mar,0
2020,Apr,0
2020,May,0
2020,Jun,0
2020,Jul,0
2020,Aug,0
2020,Sep,0
2020,Oct,0
2020,Nov,0
2020,Dec,0
